personLabel,occupationLabel,birthdate,deathdate,nationalityLabel,awardLabel
Andrea Vrbovská,physician,1966-12-22T00:00:00Z,,Czechoslovakia,
Kaisa Miettinen,mathematician,1965-07-25T00:00:00Z,,Finland,Väisälä Prize
Kim Rees,computer scientist,,,,
Olive Scott,physician,1924-06-25T00:00:00Z,2007-03-04T00:00:00Z,United Kingdom of Great Britain and Ireland,Fellow of the Royal College of Physicians
Julia Wilmotte Henshaw,botanist,1869-08-08T00:00:00Z,1937-11-19T00:00:00Z,Canada,Croix de guerre 1914–1918
Mary Lois Jotter,botanist,1914-01-01T00:00:00Z,2013-04-30T00:00:00Z,,
Yvonne Brill,engineer,1924-12-30T00:00:00Z,2013-03-27T00:00:00Z,Canada,National Inventors Hall of Fame
Gail Hanson,physicist,1947-02-22T00:00:00Z,,United States of America,Fellow of the American Physical Society
Karin Reich,mathematician,1941-10-13T00:00:00Z,,Germany,
Pamela Liversidge,engineer,1949-12-23T00:00:00Z,,United Kingdom,Officer of the Order of the British Empire
Alexandra Navrotsky,chemist,1943-06-20T00:00:00Z,,United States of America,Harry H. Hess Medal
Joan A. Steitz,biologist,1941-01-26T00:00:00Z,,United States of America,honorary doctor of Brandeis University
María Teresa Bustos del Castillo,engineer,2000-01-01T00:00:00Z,,Spain,
Sarah McAnulty,biologist,,,United States of America,
Elizabeth New,chemist,1984-01-01T00:00:00Z,,Australia,Selby Research Award
Dorothy N. Gibson,botanist,1921-01-01T00:00:00Z,,United States of America,
Adamantia Paizis,astronomer,1972-11-30T00:00:00Z,,Italy,
Sandra Knapp,botanist,1956-12-09T00:00:00Z,,United Kingdom,Fellow of the Linnean Society of London
Paola Loreti,mathematician,,,,
Hagit Messer Yaron,engineer,1953-05-13T00:00:00Z,,Israel,IEEE Fellow
Danuše Táborská,physician,1928-12-22T00:00:00Z,2020-04-06T00:00:00Z,,City of Brno Award
Stella Immanuel,physician,1965-01-01T00:00:00Z,,Cameroon,
Naima Sahlbom,chemist,1871-05-15T00:00:00Z,1957-03-29T00:00:00Z,Sweden,Illis Quorum
Laure Saint-Raymond,mathematician,1975-08-04T00:00:00Z,,France,Fermat Prize
Rebecca Mercuri,computer scientist,1954-10-20T00:00:00Z,,,
Marie Curie,physicist,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z,Poland,Actonian Prize
Hajer Bahouri,mathematician,1958-03-30T00:00:00Z,,France,Paul Doistau-Émile Blutet Prize
Sara Yesayan,physician,1946-07-29T00:00:00Z,,Armenia,Q4187966
Éva Tardos,computer scientist,1957-10-01T00:00:00Z,,Hungary,The George B. Dantzig Prize
Hanna Przewłocka,chemist,1923-01-01T00:00:00Z,2017-02-13T00:00:00Z,Poland,Medal of the National Education Commission
Christine Böckmann,mathematician,1955-01-01T00:00:00Z,,,
Christiane Nüsslein-Volhard,biologist,1942-10-20T00:00:00Z,,Germany,Nobel Prize in Physiology or Medicine
Dušanka Janežič,mathematician,1952-05-21T00:00:00Z,,Slovenia,Zois award
Liliana Mónica Villar,botanist,1953-01-01T00:00:00Z,,Argentina,
Laura Alberta Linton,physician,1853-04-08T00:00:00Z,1915-04-01T00:00:00Z,United States of America,
Virginia Zakian,biologist,,,United States of America,WICB Senior Award
Helen Purdy Beale,botanist,1893-09-19T00:00:00Z,1976-11-05T00:00:00Z,United States of America,
Leticia Cugliandolo,physicist,1965-02-11T00:00:00Z,,Argentina,John Simon Guggenheim Memorial Foundation
Yvonne Choquet-Bruhat,mathematician,1923-12-29T00:00:00Z,,France,CNRS silver medal
Christine Mannhalter,biologist,1948-11-09T00:00:00Z,,Austria,City of Vienna award for medicine
Tatjana Jemeļjanova,chemist,1954-08-21T00:00:00Z,,Soviet Union,
Zigrīda Eglīte,botanist,1936-01-01T00:00:00Z,,Latvia,
Victoria Drummond,engineer,1894-10-14T00:00:00Z,1978-12-25T00:00:00Z,United Kingdom of Great Britain and Ireland,Lloyd's War Medal for Bravery at Sea
Mary L. Boas,mathematician,1917-03-10T00:00:00Z,2010-02-17T00:00:00Z,United States of America,
Franciszka Galbierz-Krośniak,physician,1928-09-13T00:00:00Z,2018-01-01T00:00:00Z,,Bronze Medal of Merit for National Defence
Nora B. Muruaga,botanist,1963-01-01T00:00:00Z,,Argentina,
Sophie LaRochelle,engineer,1964-01-01T00:00:00Z,,Canada,
Bonnie Berger,mathematician,2000-01-01T00:00:00Z,,United States of America,Fellow of the American Mathematical Society
Sarah Salmond,astronomer,1864-01-01T00:00:00Z,1956-01-01T00:00:00Z,New Zealand,
Rebecca Elson,astronomer,1960-01-02T00:00:00Z,1999-05-19T00:00:00Z,Canada,
Vera Higgins,botanist,1892-01-01T00:00:00Z,1968-01-01T00:00:00Z,United Kingdom,
Gro Harlem Brundtland,physician,1939-04-20T00:00:00Z,,Norway,Honorary Doctor at Karolinska Institutet
Julia Carabias,biologist,1954-08-11T00:00:00Z,,Mexico,J. Paul Getty Award for Conservation Leadership
Marie Curie,physicist,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z,France,Davy Medal
Grace Wyngaard,biologist,,,,AAAS Fellow
Q100596821,physician,1961-05-22T00:00:00Z,,Belarus,Certificate of Honor of the National Assembly of the Republic of Belarus
Laure Saint-Raymond,mathematician,1975-08-04T00:00:00Z,,France,Ruth Lyttle Satter Prize in Mathematics
Aurelia Woźnicka,chemist,1916-02-13T00:00:00Z,1979-01-02T00:00:00Z,,Cross of Valour
Pilar Jorge de Tella,physician,1884-08-24T00:00:00Z,1967-04-26T00:00:00Z,Cuba,
Nadezhda Suslova,physician,1843-09-13T00:00:00Z,1918-04-20T00:00:00Z,Russian Empire,
Catherine Brewer Benson,physician,1822-01-24T00:00:00Z,1908-02-27T00:00:00Z,United States of America,
Katrin Wehrheim,mathematician,1974-01-01T00:00:00Z,,Germany,Presidential Early Career Award for Scientists and Engineers
Meg Schwamb,astronomer,1984-01-01T00:00:00Z,,United States of America,Carl Sagan Medal
Jun Chen,computer scientist,2000-01-01T00:00:00Z,,United States of America,
Sarah Woodin,biologist,,,,AAAS Fellow
Bonnie Berger,mathematician,2000-01-01T00:00:00Z,,United States of America,Member of the National Academy of Sciences of the United States
Irina Kuznetsova,engineer,1961-12-09T00:00:00Z,,Soviet Union,
Raissa Nitabuch,physician,,,,
Sylvia Earle,biologist,1935-08-30T00:00:00Z,,United States of America,Hubbard Medal
Claudia Müller-Birn,computer scientist,1976-01-01T00:00:00Z,,Germany,
Eneida Zurita,botanist,1976-01-01T00:00:00Z,,Bolivia,
Bodil Branner,mathematician,1943-02-05T00:00:00Z,,Denmark,Fellow of the American Mathematical Society
Fatima Batul Mukhtar,botanist,1963-05-23T00:00:00Z,,Nigeria,
Olha Avilova,physician,1918-09-10T00:00:00Z,2009-12-27T00:00:00Z,Ukraine,Lenin Prize
Tatyana Ivanova,physician,1926-09-16T00:00:00Z,2015-12-26T00:00:00Z,Russia,"Medal ""Veteran of Labour"""
Miriam Rothschild,botanist,1908-08-05T00:00:00Z,2005-01-20T00:00:00Z,United Kingdom of Great Britain and Ireland,Fellow of the American Academy of Arts and Sciences
Galina Ivanovna Tsukanova,physicist,1942-02-26T00:00:00Z,2014-11-24T00:00:00Z,Soviet Union,"Medal ""In Commemoration of the 300th Anniversary of Saint Petersburg"""
Tamara Gladkina,biologist,1919-12-27T00:00:00Z,2011-04-27T00:00:00Z,Russia,Order of the Badge of Honour
JoAnne Stubbe,chemist,1946-06-11T00:00:00Z,,United States of America,National Medal of Science
Kimberly W. Anderson,chemist,,,United States of America,
Vaike Paju,botanist,1930-12-09T00:00:00Z,2012-05-11T00:00:00Z,,
Marianne Plehn,biologist,1863-10-13T00:00:00Z,1946-01-18T00:00:00Z,Germany,
Shafrira Goldwasser,computer scientist,1958-01-01T00:00:00Z,,United States of America,Gödel Prize
Clara Inés Orozco,botanist,1952-01-01T00:00:00Z,,,
Chien-Shiung Wu,physicist,1912-05-31T00:00:00Z,1997-02-16T00:00:00Z,China,Tom W. Bonner Prize in Nuclear Physics
Chien-Shiung Wu,physicist,1912-05-31T00:00:00Z,1997-02-16T00:00:00Z,People's Republic of China,Tom W. Bonner Prize in Nuclear Physics
Ursula Keller,physicist,1959-06-21T00:00:00Z,,Switzerland,Carl Zeiss Research Award
Katharine A Michie,physicist,,,,
Q81671446,physician,1935-01-13T00:00:00Z,2020-01-07T00:00:00Z,Poland,
Janice E. Clements,biologist,,,United States of America,
Iva Tolić,biologist,1974-06-24T00:00:00Z,,Yugoslavia,
Kim Bartholomew,computer scientist,2000-01-01T00:00:00Z,,United States of America,
Christiane Nüsslein-Volhard,biologist,1942-10-20T00:00:00Z,,Germany,Albert Lasker Award for Basic Medical Research
Joanna Kurczewska,chemist,1950-01-01T00:00:00Z,,Poland,
Mary Ellen Tracy,chemist,1943-01-01T00:00:00Z,,United States of America,
Sue Black,computer scientist,1962-01-01T00:00:00Z,,United Kingdom,Fellow of the Royal Society of Arts
Martha Allen Sherwood,botanist,1950-01-01T00:00:00Z,,United Kingdom,
Silvia Creangă,mathematician,1894-10-26T00:00:00Z,1952-03-31T00:00:00Z,Romania,
Isabel Mateu,botanist,1952-01-01T00:00:00Z,,,
Eugenia Wang,biologist,1945-02-26T00:00:00Z,,Canada,
Helene Shapiro,mathematician,1954-05-04T00:00:00Z,,,
Olha Avilova,physician,1918-09-10T00:00:00Z,2009-12-27T00:00:00Z,Ukraine,Order of the Red Banner of Labour
Elza Agababova,physician,1929-01-03T00:00:00Z,2005-12-19T00:00:00Z,Russia,Merited Scientist of the Russian Federation
Chen Zhili,physicist,1942-11-21T00:00:00Z,,People's Republic of China,Olympic Order
Patricia Chacón de Ulloa,biologist,1956-01-01T00:00:00Z,,Colombia,
Ursula Keller,physicist,1959-06-21T00:00:00Z,,Switzerland,Philip Morris Research Prize
Olga Botner,physicist,1953-01-01T00:00:00Z,,Denmark,
Irénée Thériot,botanist,1859-12-21T00:00:00Z,1947-03-25T00:00:00Z,France,
Taki Handa,botanist,1871-01-01T00:00:00Z,1956-01-01T00:00:00Z,,
Princess Theresa of Bavaria,botanist,1850-11-12T00:00:00Z,1925-09-19T00:00:00Z,Germany,Ehrendoktor der Ludwig-Maximilians-Universität München
Françoise Combes,physicist,1952-08-12T00:00:00Z,,France,Prix Jules Janssen
Anna Petronella van Heerden,physician,1887-04-16T00:00:00Z,1975-01-10T00:00:00Z,South Africa,
Rauni-Leena Luukanen-Kilde,physician,1939-11-15T00:00:00Z,2015-02-08T00:00:00Z,Finland,
Almudena Arcones,physicist,1979-01-01T00:00:00Z,,,
Jessie Bierman,physician,1990-01-01T00:00:00Z,1996-08-26T00:00:00Z,,
Susanne Höfner,astronomer,1967-01-01T00:00:00Z,,Sweden,
Svitlana Moroziuk,botanist,1937-06-14T00:00:00Z,2019-11-07T00:00:00Z,Ukraine,Q12132046
Svitlana Moroziuk,botanist,1937-06-14T00:00:00Z,2019-11-07T00:00:00Z,Ukraine,Q12142982
Jie Mei Xu,botanist,,,,
Agnes McLaren,physician,1837-01-01T00:00:00Z,1913-04-17T00:00:00Z,United Kingdom,
Shûtai Okamura,botanist,1877-01-01T00:00:00Z,1947-01-01T00:00:00Z,Japan,
Margaret Sheil,chemist,1961-01-01T00:00:00Z,,Australia,Fellow of the Australian Academy of Technological Sciences and Engineering
Sylvia Earle,biologist,1935-08-30T00:00:00Z,,United States of America,Rachel Carson Prize
Roberta Bondar,physician,1945-12-04T00:00:00Z,,Canada,NASA Space Flight Medal
Mary C. Pearl,biologist,1950-07-05T00:00:00Z,,,
Madeleine Akrich,engineer,1959-03-04T00:00:00Z,,France,Officer of the National Order of Merit
JoAnne Stubbe,chemist,1946-06-11T00:00:00Z,,United States of America,Pfizer Award in Enzyme Chemistry
Katalin Kövér,chemist,1956-08-12T00:00:00Z,,Hungary,
Mary Peters Fieser,chemist,1909-05-27T00:00:00Z,1997-03-22T00:00:00Z,United States of America,Garvan–Olin Medal
Margaret Todd,physician,1859-04-23T00:00:00Z,1918-09-03T00:00:00Z,United Kingdom of Great Britain and Ireland,
Raisa Kozdenbayeva,physician,1942-04-03T00:00:00Z,,Soviet Union,
Görel Östberg,physician,1932-11-29T00:00:00Z,,,
Salinee Tavaranan,engineer,,,United States of America,BBC 100 Women
Maria Mitchell,astronomer,1818-08-01T00:00:00Z,1889-06-28T00:00:00Z,United States of America,National Women's Hall of Fame
Tamara Sõrmus,mathematician,1926-11-29T00:00:00Z,2018-03-28T00:00:00Z,Estonia,
Edit Egri,mathematician,1953-01-01T00:00:00Z,,,
Mary Blade,engineer,1913-01-01T00:00:00Z,1994-01-01T00:00:00Z,United States of America,
Marsha Berger,computer scientist,1953-01-01T00:00:00Z,,United States of America,Sidney Fernbach Award
Ursula B. Marvin,astronomer,1921-08-20T00:00:00Z,2018-02-12T00:00:00Z,United States of America,Meteoritical Society's Service Award
Mary-Claire King,biologist,1946-02-27T00:00:00Z,,United States of America,Paul Ehrlich and Ludwig Darmstaedter Prize
Ella Campbell,botanist,1910-10-28T00:00:00Z,2003-07-24T00:00:00Z,New Zealand,Massey medal
Q27062751,physician,1911-02-16T00:00:00Z,2006-01-22T00:00:00Z,Ukraine,"Medal ""For the Defence of Sevastopol"""
سلوى عبد الله,physician,1953-01-01T00:00:00Z,,Syria,
Sara Bercof,physician,1906-01-01T00:00:00Z,1986-01-01T00:00:00Z,Argentina,
Anneila Sargent,astronomer,1942-01-01T00:00:00Z,,United States of America,Fellow of the Royal Society of Edinburgh
Amita Sehgal,biologist,1950-01-01T00:00:00Z,,India,
Sally T. Reynolds,botanist,1932-01-01T00:00:00Z,,Australia,
Leslie P. Kaelbling,computer scientist,1961-08-29T00:00:00Z,,United States of America,AAAI Fellow
Diana Beresford-Kroeger,biologist,1944-07-25T00:00:00Z,,Ireland,
Nadja Diane,botanist,,,,
Judith Grabiner,mathematician,1938-10-12T00:00:00Z,,United States of America,Fellow of the American Mathematical Society
Marietta Blau,physicist,1894-04-29T00:00:00Z,1970-01-27T00:00:00Z,Austria,City of Vienna Prize for science
Charlotte Cortlandt Ellis,botanist,1874-06-27T00:00:00Z,1956-03-17T00:00:00Z,United States of America,
Lyudmyla Lyatetska,physician,1941-11-07T00:00:00Z,2020-06-16T00:00:00Z,Ukraine,Order of the Red Banner of Labour
Rosa Grigoryan,physician,1925-01-06T00:00:00Z,,,
Dorina Mitrea,mathematician,1965-04-30T00:00:00Z,,,
Michele Dougherty,physicist,1962-01-01T00:00:00Z,,South Africa,Gold Medal of the Royal Astronomical Society
Ilse Ipsen,mathematician,1950-01-01T00:00:00Z,,,Fellow of the Society for Industrial and Applied Mathematics
Monika Modrzejewska,physician,1963-01-01T00:00:00Z,,Poland,
Margit Antal,computer scientist,1968-06-20T00:00:00Z,,,
Ilariya Alexeevna Raikova,botanist,1896-01-01T00:00:00Z,1981-01-01T00:00:00Z,Soviet Union,Order of Lenin
Christine C. Kirpes,botanist,1962-01-01T00:00:00Z,,United States of America,
Adi Kimchi,biologist,1947-01-01T00:00:00Z,,Israel,"The EMET Prize for Art, Science and Culture"
Anne Wojcicki,biologist,1973-07-28T00:00:00Z,,United States of America,
Mary Stuart Fisher,physician,1922-08-12T00:00:00Z,2006-04-24T00:00:00Z,,
Mary Stuart Fisher,physician,1922-08-12T00:00:00Z,2006-04-25T00:00:00Z,,
Ana María Rizzuto,physician,1932-12-23T00:00:00Z,,Argentina,Oskar Pfister Award
Q54964400,physician,1905-10-05T00:00:00Z,t2013937584,Soviet Union,
Albertine Winner,physician,1907-01-01T00:00:00Z,1988-01-01T00:00:00Z,United Kingdom,Fellow of the Royal College of Physicians
Ella Webb,physician,1877-10-16T00:00:00Z,1946-08-24T00:00:00Z,,Officer of the Order of the British Empire
Rachel Bernstein,engineer,1953-01-01T00:00:00Z,,,
Jane Aronson,physician,1951-11-10T00:00:00Z,,United States of America,
Naomi Leonard,engineer,,,,Fellow of the Society for Industrial and Applied Mathematics
Tinatin Asatiani,physicist,1918-03-12T00:00:00Z,2011-07-20T00:00:00Z,Democratic Republic of Georgia,Soros Prize
Karin Holmgren,biologist,1959-01-01T00:00:00Z,,Sweden,
Augusta Margareta Muhl,physician,1883-06-13T00:00:00Z,1961-05-03T00:00:00Z,Sweden,
Ronitt Rubinfeld,computer scientist,1964-01-01T00:00:00Z,,United States of America,ACM Fellow
Zohra Begum Kazi,physician,1912-10-15T00:00:00Z,2007-11-07T00:00:00Z,British India,Ekushey Padak
Małgorzata Frontczak-Baniewicz,physician,1960-01-01T00:00:00Z,,Poland,
María del Carmen Isabel Prada,botanist,1953-01-01T00:00:00Z,,Spain,
Mirjam Cvetič,physicist,1957-01-01T00:00:00Z,,Slovenia,
Jennifer Wilcox,chemist,1974-07-15T00:00:00Z,,United States of America,
JoAnne Stubbe,chemist,1946-06-11T00:00:00Z,,United States of America,Benjamin Franklin Medal
Monika Ritsch-Marte,physicist,1961-09-26T00:00:00Z,,Austria,Fellow of the Optical Society
Mina Bissell,biologist,1940-01-01T00:00:00Z,,United States of America,WICB Senior Award
Anna Kartsova,chemist,1946-05-30T00:00:00Z,,Russia,
Auli Toivanen,physician,1938-03-01T00:00:00Z,,Finland,
Ana Maria Giulietti,botanist,1945-01-01T00:00:00Z,,Argentina,José Cuatrecasas Medal for Excellence in Tropical Botany
Misuzu Asari,engineer,,,Japan,
Elham Kazemi,mathematician,1970-01-01T00:00:00Z,,,
Leena Kaartinen,physician,1942-01-01T00:00:00Z,,Finland,
Rowena Spencer,physician,1922-07-03T00:00:00Z,2014-05-13T00:00:00Z,United States of America,
Svitlana Moroziuk,botanist,1937-06-14T00:00:00Z,2019-11-07T00:00:00Z,Ukraine,"Medal ""In Commemoration of the 1500th Anniversary of Kiev"""
Frederica Darema,computer scientist,1940-01-01T00:00:00Z,,United States of America,Fellow of the American Physical Society
Violetta Patroniak,chemist,1964-10-24T00:00:00Z,,Poland,
Frances Spence,programmer,1922-03-02T00:00:00Z,2012-07-18T00:00:00Z,United States of America,Women in Technology International
Nan Laird,mathematician,1943-09-18T00:00:00Z,,United States of America,Fellow of the American Statistical Association
Valentina Tereshkova,engineer,1937-03-06T00:00:00Z,,Russia,Order of Friendship of Peoples
Stanisława Pukacka,botanist,1945-01-01T00:00:00Z,,Poland,
Anne Trefethen,computer scientist,,,United Kingdom,Fellow of the Royal Academy of Engineering
Maria Cristina Dreher Mansur,biologist,1950-01-01T00:00:00Z,,Brazil,
Alma Joslyn Whiffen-Barksdale,botanist,1916-10-25T00:00:00Z,1981-07-05T00:00:00Z,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Q39083782,physician,1912-01-01T00:00:00Z,1999-01-01T00:00:00Z,,"Medal ""For Battle Merit"""
Madge Macklin,biologist,1893-02-06T00:00:00Z,1962-03-04T00:00:00Z,United States of America,
Gerta Kandaurova,physicist,1929-03-09T00:00:00Z,2013-08-05T00:00:00Z,Soviet Union,Merited Scientist of the Russian Federation
Olga Semenovna Mazhorova,mathematician,1947-12-15T00:00:00Z,,Russia,
Susan J. Eggers,engineer,1943-01-01T00:00:00Z,,United States of America,IEEE Fellow
Esperanza Cabral,physician,,,,
JoAnne Stubbe,chemist,1946-06-11T00:00:00Z,,United States of America,Pearl Meister Greengard Prize
Clotilde-Camille Deflandre,physician,1871-11-21T00:00:00Z,1946-06-07T00:00:00Z,France,
Christina Koch,engineer,1979-01-29T00:00:00Z,,United States of America,Antarctica Service Medal
Marsha I. Lester,physicist,1953-01-01T00:00:00Z,,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Lucy Wills,physician,1888-05-10T00:00:00Z,1964-04-26T00:00:00Z,United Kingdom of Great Britain and Ireland,
Luz Amparo Triana-Moreno,botanist,1977-01-01T00:00:00Z,,Colombia,
Elsa Lundanes,chemist,1953-01-01T00:00:00Z,,Norway,
Rosanna Gusmano,physician,1928-11-10T00:00:00Z,2011-02-12T00:00:00Z,Kingdom of Italy,
Q4516721,physician,1923-02-07T00:00:00Z,2012-01-08T00:00:00Z,Soviet Union,"Medal ""Veteran of Labour"""
Ursula Keller,physicist,1959-06-21T00:00:00Z,,Switzerland,Weizmann Women & Science Award
Charlotte Yhlen,physician,1839-11-19T00:00:00Z,1920-01-14T00:00:00Z,Sweden,
Asuka Sentoku,biologist,,,Japan,
Alina Doroszewska,botanist,1925-10-22T00:00:00Z,1989-08-27T00:00:00Z,Poland,
Marta Kras,botanist,1978-01-01T00:00:00Z,,Poland,
Pelageya Polubarinova-Kochina,physicist,1899-05-13T00:00:00Z,1999-07-03T00:00:00Z,Russia,Order of the Red Banner of Labour
Anne Taormina,mathematician,,,,
Lilly Paykull,physician,1870-12-23T00:00:00Z,1951-09-24T00:00:00Z,Sweden,
Marsha Ivins,engineer,1951-04-15T00:00:00Z,,United States of America,NASA Distinguished Service Medal
Ada Buffulini,physician,1912-09-28T00:00:00Z,1991-07-03T00:00:00Z,Italy,
Q4516721,physician,1923-02-07T00:00:00Z,2012-01-08T00:00:00Z,Soviet Union,"Jubilee Medal ""50 Years of Victory in the Great Patriotic War 1941–1945"""
Anne Taormina,physicist,,,,
Angela Belcher,engineer,1968-01-01T00:00:00Z,,United States of America,Fellow of the American Academy of Arts and Sciences
Margarete Kahn,mathematician,1880-08-27T00:00:00Z,1942-03-28T00:00:00Z,German Reich,
Jana Fischerová,engineer,1955-08-20T00:00:00Z,,Czech Republic,
Nandini Mukherjee,physicist,,,India,
Erica Flapan,mathematician,1956-08-14T00:00:00Z,,United States of America,Fellow of the American Mathematical Society
Cornelia van Arkel,chemist,1902-03-31T00:00:00Z,1980-03-25T00:00:00Z,Kingdom of the Netherlands,
